"","Escolaridade_pai","Escolaridade_mãe","Renda","Auxílio","Escola","Dificuldade"
"3320","1","2","1","2","1","1"
"5040","1","1","2","2","1","1"
"2337","1","1","2","2","1","0"
"4881","1","1","1","2","1","1"
"11","1","2","1","2","1","1"
"3575","2","3","3","2","2","0"
"501","3","3","2","2","1","1"
"5106","1","1","1","2","1","1"
"5082","2","2","3","2","1","1"
"483","1","1","1","2","1","0"
"1245","3","3","3","2","2","1"
"539","3","3","3","2","2","0"
"1547","3","3","3","2","2","0"
"3729","2","2","3","2","2","0"
"4537","1","2","1","1","1","0"
"2667","2","3","2","2","2","1"
"371","2","3","3","2","2","1"
"4654","3","3","2","2","2","1"
"4665","3","3","3","2","2","1"
"2828","3","3","3","2","2","0"
"4032","1","1","2","2","1","1"
"3611","3","2","3","2","1","1"
"1185","2","2","1","2","1","1"
"1194","3","3","1","2","2","0"
"3272","2","2","3","2","2","0"
"4803","1","1","1","2","1","0"
"4911","2","2","1","2","2","1"
"4204","1","1","2","2","1","1"
"537","2","1","1","2","1","0"
"239","3","3","3","2","2","0"
"1774","1","1","2","2","1","1"
"780","3","3","1","1","1","0"
"315","1","1","3","2","1","0"
"2631","1","2","2","2","1","0"
"2039","2","3","2","2","2","1"
"4022","1","2","2","2","2","1"
"584","3","3","3","2","2","1"
"3154","2","3","2","1","2","0"
"5369","2","3","2","1","1","0"
"5312","1","2","1","2","1","1"
"2323","1","1","1","2","1","0"
"2164","1","2","1","1","1","1"
"2157","1","2","1","1","1","0"
"1761","2","2","1","2","1","0"
"2429","1","1","1","2","2","1"
"1715","2","2","3","2","1","1"
"4619","1","2","2","2","1","1"
"4379","1","1","3","2","1","0"
"1568","3","3","3","2","2","0"
"4691","2","3","2","2","2","1"
"4297","2","2","2","2","1","0"
"4552","1","3","2","1","1","0"
"5356","1","2","3","2","1","1"
"682","2","2","1","1","1","1"
"1174","2","3","3","2","2","1"
"4279","1","2","1","2","2","1"
"5300","1","2","1","2","2","1"
"2234","1","1","2","2","1","1"
"1587","3","3","1","2","1","1"
"5284","1","1","2","2","2","0"
"2213","2","2","1","2","1","0"
"4296","2","2","2","2","1","1"
"3699","2","3","3","2","1","1"
"670","1","1","1","1","1","1"
"85","2","3","3","2","2","0"
"2504","2","2","3","2","1","0"
"1341","2","3","2","2","2","1"
"3015","3","3","3","2","2","1"
"1642","2","2","1","1","2","1"
"5258","1","2","2","2","1","1"
"243","2","3","3","2","2","0"
"4645","2","2","2","2","2","0"
"5145","3","3","3","2","2","0"
"4641","3","3","3","2","2","0"
"2370","3","2","1","2","1","1"
"1813","1","1","1","2","1","0"
"203","3","2","2","2","1","0"
"22","3","3","3","2","2","0"
"3594","2","2","3","2","2","0"
"3306","3","3","3","2","1","0"
"589","3","3","3","2","2","0"
"4068","1","1","1","2","1","0"
"813","2","2","2","2","1","1"
"2249","3","2","3","2","2","0"
"3464","3","2","3","2","2","0"
"920","1","2","2","2","1","1"
"663","2","3","3","2","1","0"
"183","1","2","2","2","1","1"
"1230","3","3","2","2","2","1"
"4539","2","2","2","2","1","1"
"1903","3","3","3","2","1","0"
"4088","1","2","1","1","1","1"
"1523","1","1","1","1","1","0"
"3883","2","2","1","1","1","1"
"1438","2","1","3","2","1","1"
"3950","2","1","2","2","1","1"
"452","2","2","3","2","2","1"
"5025","1","1","2","2","1","0"
"3025","1","3","2","1","1","1"
"4555","1","3","1","2","2","1"
"2447","3","3","3","2","2","0"
"5043","1","1","1","2","1","0"
"2445","2","1","1","1","1","1"
"4533","2","3","1","1","1","1"
"5230","1","1","1","2","1","1"
"58","3","3","3","2","1","1"
"4464","1","1","1","2","1","0"
"5246","1","2","3","2","1","1"
"4334","1","2","1","2","1","1"
"444","2","2","2","2","1","1"
"1340","3","3","2","2","2","0"
"2661","1","1","1","1","1","1"
"5441","2","2","2","2","1","1"
"5445","1","1","3","2","1","0"
"1853","3","2","1","2","2","1"
"1892","1","1","1","1","1","0"
"1572","3","3","3","2","2","0"
"4028","2","2","2","2","1","1"
"5314","1","1","2","2","1","1"
"2658","3","3","2","2","1","1"
"1921","2","2","2","2","1","0"
"2215","1","1","2","2","1","1"
"2673","3","3","3","2","2","1"
"3862","1","1","1","1","1","1"
"314","3","3","3","2","2","1"
"5180","1","3","2","2","1","0"
"4744","3","3","2","2","2","0"
"5359","1","2","1","2","1","1"
"5136","2","2","2","1","2","0"
"4651","3","3","2","2","2","1"
"3816","2","3","1","2","1","0"
"2080","2","2","2","2","1","1"
"1811","1","1","1","2","1","1"
"4778","3","2","2","2","2","0"
"2893","1","1","1","2","1","0"
"3503","1","2","2","2","1","1"
"1503","2","3","1","1","2","1"
"2951","2","3","2","2","1","0"
"1458","3","2","2","2","1","0"
"2754","2","2","3","2","2","0"
"2351","2","3","3","2","2","0"
"2737","1","2","3","2","1","1"
"3467","3","3","3","2","2","0"
"717","2","1","2","2","1","1"
"4332","2","3","1","2","1","1"
"2826","3","1","1","2","2","0"
"1493","2","2","2","2","1","1"
"1975","3","3","3","2","2","0"
"2354","3","3","3","2","2","0"
"3133","1","3","2","2","1","0"
"3473","3","3","2","2","1","1"
"4735","2","3","2","2","2","1"
"4591","1","1","2","2","2","0"
"3392","1","1","1","2","2","0"
"3207","2","2","1","2","1","1"
"2881","1","2","2","2","1","1"
"701","3","3","3","2","2","0"
"3539","3","2","3","2","1","1"
"3484","3","3","3","2","2","1"
"674","1","1","1","1","1","1"
"1282","3","3","3","2","1","0"
"2807","2","2","2","2","2","0"
"3579","3","2","3","2","2","1"
"4214","3","3","3","2","2","0"
"2289","2","2","1","2","1","0"
"2741","3","2","2","2","2","1"
"2819","3","3","2","2","2","1"
"3685","3","3","2","2","1","0"
"1142","1","1","1","2","1","1"
"3893","2","2","2","1","1","1"
"2649","2","2","2","2","1","0"
"794","1","2","1","2","1","0"
"5446","2","3","1","2","1","1"
"2005","1","2","1","2","1","1"
"4359","3","3","3","2","2","1"
"225","3","3","3","2","1","1"
"5302","3","3","3","2","1","1"
"738","2","2","2","2","1","1"
"1629","1","2","1","1","1","0"
"1090","3","3","2","2","1","1"
"1773","2","1","2","2","1","1"
"4652","2","2","1","2","2","1"
"91","3","3","3","2","1","1"
"2263","1","3","3","2","2","0"
"5468","2","1","3","2","1","1"
"1114","3","1","1","2","1","1"
"4238","3","3","1","2","2","1"
"2706","2","3","1","2","1","1"
"2385","3","3","2","2","2","1"
"1540","3","3","3","2","2","1"
"1410","1","1","2","2","1","0"
"2714","2","2","3","2","1","1"
"289","2","3","3","2","1","0"
"4826","2","1","1","1","1","1"
"3653","3","2","3","2","2","0"
"872","1","3","2","2","1","1"
"37","2","3","1","2","2","0"
"102","3","3","3","2","2","1"
"3739","3","3","3","2","2","1"
"795","1","1","2","2","1","1"
"4715","1","1","1","2","1","1"
"59","2","1","2","2","1","1"
"2769","3","3","3","2","2","0"
"568","3","3","3","2","2","1"
"4011","1","1","3","2","1","0"
"19","2","1","2","2","1","1"
"1355","3","3","2","2","2","1"
"5131","3","3","3","2","2","1"
"110","2","2","3","2","2","0"
"4866","2","3","3","2","2","1"
"1398","1","2","1","2","2","1"
"4596","2","2","2","2","1","0"
"3891","2","2","1","2","1","1"
"3067","3","3","3","2","2","1"
"2868","1","2","2","2","2","1"
"3716","2","1","3","2","2","1"
"3419","3","1","3","2","2","1"
"759","2","2","3","2","2","0"
"606","3","2","2","2","1","0"
"2256","1","3","2","2","1","1"
"304","3","3","3","2","2","0"
"836","2","2","2","2","2","1"
"2952","1","2","2","2","1","1"
"2682","2","3","2","2","2","0"
"4313","3","3","3","2","1","1"
"2212","2","3","2","2","2","1"
"2745","1","1","1","2","1","1"
